Usage,Timestep,InventoryCode,Domain
93,1,0,B
94,2,0,B
94,3,0,B
94,4,0,B
94,5,0,B
95,6,0,B
95,7,0,B
96,8,0,B
96,9,0,B
96,10,0,B
96,11,0,B
96,12,0,B
96,13,0,B
97,14,0,B
98,15,0,B
98,16,0,B
98,17,0,B
98,18,0,B
98,19,0,B
98,20,0,B
99,21,0,B
99,22,0,B
100,23,0,B
100,24,0,B
100,25,0,B
97,26,0,B
95,27,0,B
93,28,0,B
91,29,0,B
92,30,0,B
92,31,0,B
71,32,0,B
51,33,0,B
52,34,0,B
52,35,0,B
52,36,0,B
52,37,0,B
52,38,0,B
53,39,0,B
53,40,0,B
53,41,0,B
53,42,0,B
53,43,0,B
54,44,0,B
53,45,0,B
53,46,0,B
53,47,0,B
54,48,0,B
54,49,0,B
54,50,0,B
54,51,0,B
54,52,0,B
55,53,0,B
55,54,0,B
55,55,0,B
44,56,0,B
33,57,0,B
33,58,0,B
33,59,0,B
34,60,0,B
34,61,0,B
34,62,0,B
34,63,0,B
34,64,0,B
34,65,0,B
34,66,0,B
34,67,0,B
34,68,0,B
34,69,0,B
35,70,0,B
35,71,0,B
35,72,0,B
35,73,0,B
35,74,0,B
35,75,0,B
73,1,1,B
73,2,1,B
73,3,1,B
73,4,1,B
73,5,1,B
73,6,1,B
73,7,1,B
73,8,1,B
73,9,1,B
73,10,1,B
73,11,1,B
73,12,1,B
74,13,1,B
74,14,1,B
74,15,1,B
74,16,1,B
74,17,1,B
74,18,1,B
74,19,1,B
74,20,1,B
74,21,1,B
74,22,1,B
74,23,1,B
74,24,1,B
74,25,1,B
74,26,1,B
74,27,1,B
75,28,1,B
75,29,1,B
75,30,1,B
75,31,1,B
75,32,1,B
75,33,1,B
75,34,1,B
75,35,1,B
75,36,1,B
75,37,1,B
75,38,1,B
75,39,1,B
75,40,1,B
75,41,1,B
76,42,1,B
76,43,1,B
76,44,1,B
76,45,1,B
76,46,1,B
76,47,1,B
76,48,1,B
76,49,1,B
76,50,1,B
76,51,1,B
76,52,1,B
76,53,1,B
76,54,1,B
76,55,1,B
77,56,1,B
77,57,1,B
77,58,1,B
77,59,1,B
77,60,1,B
77,61,1,B
77,62,1,B
78,63,1,B
78,64,1,B
78,65,1,B
78,66,1,B
78,67,1,B
78,68,1,B
79,69,1,B
79,70,1,B
79,71,1,B
79,72,1,B
79,73,1,B
79,74,1,B
79,75,1,B
43,1,2,B
43,2,2,B
43,3,2,B
43,4,2,B
43,5,2,B
43,6,2,B
43,7,2,B
43,8,2,B
43,9,2,B
43,10,2,B
46,11,2,B
44,12,2,B
44,13,2,B
44,14,2,B
44,15,2,B
44,16,2,B
44,17,2,B
44,18,2,B
44,19,2,B
47,20,2,B
44,21,2,B
44,22,2,B
44,23,2,B
44,24,2,B
45,25,2,B
44,26,2,B
44,27,2,B
44,28,2,B
44,29,2,B
44,30,2,B
44,31,2,B
44,32,2,B
44,33,2,B
44,34,2,B
44,35,2,B
44,36,2,B
44,37,2,B
44,38,2,B
44,39,2,B
44,40,2,B
44,41,2,B
45,42,2,B
45,43,2,B
44,44,2,B
44,45,2,B
34,46,2,B
39,47,2,B
44,48,2,B
44,49,2,B
44,50,2,B
44,51,2,B
44,52,2,B
44,53,2,B
44,54,2,B
44,55,2,B
45,56,2,B
45,57,2,B
45,58,2,B
45,59,2,B
45,60,2,B
45,61,2,B
45,62,2,B
45,63,2,B
45,64,2,B
45,65,2,B
45,66,2,B
45,67,2,B
45,68,2,B
45,69,2,B
45,70,2,B
45,71,2,B
45,72,2,B
45,73,2,B
45,74,2,B
45,75,2,B
89,1,3,B
77,2,3,B
66,3,3,B
55,4,3,B
44,5,3,B
44,6,3,B
56,7,3,B
69,8,3,B
82,9,3,B
82,10,3,B
82,11,3,B
82,12,3,B
82,13,3,B
83,14,3,B
83,15,3,B
83,16,3,B
83,17,3,B
83,18,3,B
83,19,3,B
83,20,3,B
84,21,3,B
84,22,3,B
84,23,3,B
84,24,3,B
84,25,3,B
84,26,3,B
84,27,3,B
84,28,3,B
84,29,3,B
84,30,3,B
84,31,3,B
84,32,3,B
84,33,3,B
84,34,3,B
84,35,3,B
84,36,3,B
84,37,3,B
84,38,3,B
84,39,3,B
85,40,3,B
84,41,3,B
84,42,3,B
84,43,3,B
85,44,3,B
85,45,3,B
85,46,3,B
85,47,3,B
85,48,3,B
85,49,3,B
85,50,3,B
85,51,3,B
85,52,3,B
85,53,3,B
85,54,3,B
85,55,3,B
85,56,3,B
85,57,3,B
85,58,3,B
86,59,3,B
86,60,3,B
86,61,3,B
86,62,3,B
86,63,3,B
86,64,3,B
86,65,3,B
86,66,3,B
86,67,3,B
86,68,3,B
86,69,3,B
86,70,3,B
86,71,3,B
87,72,3,B
87,73,3,B
87,74,3,B
87,75,3,B
31,1,4,B
31,2,4,B
31,3,4,B
31,4,4,B
32,5,4,B
32,6,4,B
32,7,4,B
32,8,4,B
32,9,4,B
31,10,4,B
31,11,4,B
36,12,4,B
46,13,4,B
46,14,4,B
46,15,4,B
46,16,4,B
46,17,4,B
46,18,4,B
46,19,4,B
46,20,4,B
46,21,4,B
46,22,4,B
46,23,4,B
46,24,4,B
46,25,4,B
46,26,4,B
46,27,4,B
47,28,4,B
34,29,4,B
34,30,4,B
34,31,4,B
34,32,4,B
34,33,4,B
34,34,4,B
34,35,4,B
34,36,4,B
29,37,4,B
29,38,4,B
34,39,4,B
34,40,4,B
34,41,4,B
22,42,4,B
22,43,4,B
22,44,4,B
22,45,4,B
22,46,4,B
22,47,4,B
22,48,4,B
22,49,4,B
22,50,4,B
22,51,4,B
22,52,4,B
22,53,4,B
22,54,4,B
22,55,4,B
22,56,4,B
22,57,4,B
22,58,4,B
22,59,4,B
22,60,4,B
22,61,4,B
19,62,4,B
25,63,4,B
25,64,4,B
25,65,4,B
25,66,4,B
25,67,4,B
25,68,4,B
27,69,4,B
26,70,4,B
27,71,4,B
27,72,4,B
26,73,4,B
26,74,4,B
26,75,4,B
12,1,5,B
12,2,5,B
12,3,5,B
12,4,5,B
12,5,5,B
12,6,5,B
12,7,5,B
12,8,5,B
12,9,5,B
12,10,5,B
12,11,5,B
12,12,5,B
13,13,5,B
13,14,5,B
13,15,5,B
13,16,5,B
13,17,5,B
13,18,5,B
13,19,5,B
13,20,5,B
13,21,5,B
13,22,5,B
13,23,5,B
13,24,5,B
13,25,5,B
13,26,5,B
13,27,5,B
13,28,5,B
13,29,5,B
13,30,5,B
13,31,5,B
13,32,5,B
13,33,5,B
13,34,5,B
13,35,5,B
13,36,5,B
13,37,5,B
13,38,5,B
13,39,5,B
13,40,5,B
13,41,5,B
13,42,5,B
13,43,5,B
13,44,5,B
13,45,5,B
13,46,5,B
13,47,5,B
13,48,5,B
13,49,5,B
13,50,5,B
13,51,5,B
13,52,5,B
13,53,5,B
13,54,5,B
13,55,5,B
13,56,5,B
13,57,5,B
13,58,5,B
13,59,5,B
13,60,5,B
13,61,5,B
13,62,5,B
13,63,5,B
13,64,5,B
13,65,5,B
13,66,5,B
13,67,5,B
13,68,5,B
13,69,5,B
13,70,5,B
13,71,5,B
13,72,5,B
13,73,5,B
13,74,5,B
13,75,5,B
52,1,6,B
52,2,6,B
52,3,6,B
52,4,6,B
53,5,6,B
53,6,6,B
53,7,6,B
54,8,6,B
54,9,6,B
54,10,6,B
54,11,6,B
55,12,6,B
55,13,6,B
55,14,6,B
56,15,6,B
56,16,6,B
56,17,6,B
56,18,6,B
57,19,6,B
57,20,6,B
57,21,6,B
57,22,6,B
57,23,6,B
57,24,6,B
58,25,6,B
58,26,6,B
59,27,6,B
59,28,6,B
59,29,6,B
59,30,6,B
59,31,6,B
60,32,6,B
60,33,6,B
60,34,6,B
61,35,6,B
61,36,6,B
61,37,6,B
61,38,6,B
61,39,6,B
62,40,6,B
62,41,6,B
62,42,6,B
62,43,6,B
62,44,6,B
38,45,6,B
38,46,6,B
15,47,6,B
15,48,6,B
16,49,6,B
16,50,6,B
16,51,6,B
16,52,6,B
17,53,6,B
17,54,6,B
17,55,6,B
18,56,6,B
18,57,6,B
18,58,6,B
18,59,6,B
18,60,6,B
19,61,6,B
19,62,6,B
20,63,6,B
20,64,6,B
20,65,6,B
20,66,6,B
20,67,6,B
21,68,6,B
21,69,6,B
22,70,6,B
22,71,6,B
22,72,6,B
22,73,6,B
22,74,6,B
23,75,6,B
92,1,7,B
92,2,7,B
91,3,7,B
92,4,7,B
92,5,7,B
92,6,7,B
92,7,7,B
92,8,7,B
92,9,7,B
91,10,7,B
92,11,7,B
92,12,7,B
93,13,7,B
93,14,7,B
93,15,7,B
92,16,7,B
92,17,7,B
92,18,7,B
93,19,7,B
93,20,7,B
93,21,7,B
93,22,7,B
92,23,7,B
92,24,7,B
92,25,7,B
93,26,7,B
93,27,7,B
93,28,7,B
93,29,7,B
93,30,7,B
92,31,7,B
93,32,7,B
93,33,7,B
93,34,7,B
94,35,7,B
93,36,7,B
93,37,7,B
